locus_tag	ftype	length_bp	gene	EC_number	COG	product
DEGBENGL_00001	CDS	1194	atpB_1		COG1156	V-type ATP synthase beta chain
DEGBENGL_00002	CDS	423				hypothetical protein
DEGBENGL_00003	CDS	345				hypothetical protein
DEGBENGL_00004	CDS	504				hypothetical protein
DEGBENGL_00005	CDS	702				hypothetical protein
DEGBENGL_00006	CDS	549				hypothetical protein
DEGBENGL_00007	CDS	1335				hypothetical protein
DEGBENGL_00008	CDS	585	dxs_1	2.2.1.7		1-deoxy-D-xylulose-5-phosphate synthase
DEGBENGL_00009	CDS	930	dxs_2	2.2.1.7		1-deoxy-D-xylulose-5-phosphate synthase
DEGBENGL_00010	CDS	867	zapE_1			Cell division protein ZapE
DEGBENGL_00011	CDS	885		1.14.13.239		Carnitine monooxygenase oxygenase subunit
DEGBENGL_00012	CDS	897	leuB_1	1.1.1.85	COG0473	3-isopropylmalate dehydrogenase
DEGBENGL_00013	CDS	246				hypothetical protein
DEGBENGL_00014	CDS	198	aspS_1	6.1.1.12	COG0017	Aspartate--tRNA(Asp) ligase
DEGBENGL_00015	CDS	648	cdvB2_1		COG5491	Cell division protein B2
DEGBENGL_00016	CDS	471				hypothetical protein
DEGBENGL_00017	CDS	642				hypothetical protein
DEGBENGL_00018	CDS	309				hypothetical protein
DEGBENGL_00019	CDS	1200	fadA_1	2.3.1.16		3-ketoacyl-CoA thiolase
DEGBENGL_00020	CDS	201				hypothetical protein
DEGBENGL_00021	CDS	222				hypothetical protein
DEGBENGL_00022	CDS	699				hypothetical protein
DEGBENGL_00023	CDS	807	tssA_1	2.8.1.1	COG2897	Putative thiosulfate sulfurtransferase
DEGBENGL_00024	CDS	1146				hypothetical protein
DEGBENGL_00025	CDS	336				hypothetical protein
DEGBENGL_00026	CDS	843				hypothetical protein
DEGBENGL_00027	CDS	993	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
DEGBENGL_00028	CDS	288				hypothetical protein
DEGBENGL_00029	CDS	750				hypothetical protein
DEGBENGL_00030	CDS	474				hypothetical protein
DEGBENGL_00031	CDS	1602				hypothetical protein
DEGBENGL_00032	CDS	267				hypothetical protein
DEGBENGL_00033	CDS	525				hypothetical protein
DEGBENGL_00034	CDS	288				hypothetical protein
DEGBENGL_00035	CDS	1461	ddl_1	6.3.2.4		D-alanine--D-alanine ligase
