contigIdx	contigIdxMate	AvgCoverage
0	0	17.1226
1	1	8.69458
2	2	10.6862
3	3	13.2197
3	16494	0.0366124
4	4	41.9656
4	4461	0.516905
5	5	13.3434
5	8895	0.470992
5	11437	0.261076
5	13940	0.155063
6	6	40.1373
7	7	34.4202
8	8	12.3876
9	9	58.0963
9	2032	0.0409628
9	3573	0.150338
9	7508	0.125422
10	10	12.1373
11	11	14.7401
11	15916	0.0226305
12	12	22.9991
12	11588	0.00503163
12	15378	0.00503163
13	13	8.37356
14	14	13.6533
14	3890	0.0153053
15	15	35.5658
16	16	12.3837
17	17	57.7277
17	1523	1.07864
17	3054	0.160479
17	6234	0.196806
18	18	12.2383
18	12190	0.0330383
19	19	258.495
19	767	1.89514
19	980	6.21804
19	10815	0.299933
19	11978	0.0552597
19	11980	0.0266312
19	14723	0.0329561
20	20	36.8783
21	21	334.872
21	315	5.74081
21	6991	2.1826
21	9132	4.94118
21	14904	0.852328
21	15076	0.409926
22	22	22.8727
22	11392	0.143612
23	23	13.4158
23	7573	0.0618494
24	24	225.764
24	2824	0.523459
24	5541	0.0924563
24	10457	1.75161
24	15381	1.5322
25	25	10.0949
26	26	20.0569
26	179	0.0625
26	1186	0.235
27	27	44.4984
28	28	12.2237
29	29	16.3512
30	30	281.555
30	386	0.231431
30	1105	0.679698
30	2228	0.463122
30	2345	0.0526453
30	3992	1.34636
30	11758	0.551994
30	16428	0.0787073
31	31	25.7912
32	32	37.0396
32	306	0.360833
32	1213	3.31117
32	6556	1.23268
33	33	71.5089
33	13977	0.01454
34	34	8.94097
35	35	16.7478
35	3423	0.0449288
36	36	23.3657
36	1305	0.206091
37	37	12.1118
38	38	156.766
38	1384	1.60843
38	6329	1.18912
38	7074	0.0709654
39	39	38.3603
39	6215	0.0919118
39	8255	0.0914522
40	40	13.4829
41	41	28.4099
41	7350	0.730906
41	7998	0.130551
41	8674	0.831705
42	42	310.587
42	495	3.86207
42	912	0.779809
42	2801	1.76859
42	6650	0.04113
42	7035	0.573328
42	8431	3.84337
43	43	14.6189
43	5288	0.0338308
43	14975	0.0497512
44	44	10.6555
45	45	20.635
46	46	10.6627
46	1019	0.0512558
46	3444	0.101486
47	47	13.8663
48	48	28.5521
48	2590	0.0302272
48	4332	0.0472425
49	49	12.0786
50	50	157.165
50	1020	1.39398
50	1463	1.83948
50	2553	0.106562
50	5583	0.819143
50	9344	0.159978
50	12867	0.0545011
51	51	22.2995
52	52	11.1838
53	53	20.7804
53	10733	0.0106967
54	54	76.3241
54	235	0.784478
54	660	0.414788
54	4995	0.360776
55	55	43.5964
55	3894	0.524533
55	5975	0.0584112
55	15824	0.523364
56	56	8.10523
56	10219	0.107077
57	57	33.6869
58	58	9.88268
58	10592	0.0369152
59	59	16.1067
59	109	0.034638
59	13934	0.0349844
60	60	24.2347
60	1730	0.0478927
60	2610	0.122126
60	5132	0.0416667
61	61	15.5459
62	62	56.8249
62	3687	0.0560061
62	4246	0.274202
62	4704	0.331728
62	9310	0.0248353
63	63	16.8443
64	64	16.7715
64	9669	0.0526865
65	65	19.8747
65	644	1.2971
65	2705	0.0870567
65	5103	0.107784
65	10018	0.132658
66	66	37.395
66	2832	0.693556
67	67	23.5243
67	4546	0.0151944
68	68	12.7948
69	69	188.161
69	614	0.711549
69	701	0.561942
69	8331	0.103937
69	15260	0.23727
69	16737	0.104199
70	70	9.64887
71	71	21.8636
72	72	14.3562
73	73	9.38899
74	74	58.2467
74	5232	0.109375
74	6368	0.636719
74	8898	0.493304
74	10374	0.0546875
74	12198	0.0546875
75	75	41.385
75	8770	0.28159
75	8772	0.0627134
75	11823	0.0173859
76	76	73.9361
76	5673	0.106866
76	6165	1.02328
76	15513	1.38269
76	15846	0.35403
77	77	21.0383
77	6738	0.0440374
77	11243	0.00906652
77	16489	0.00934407
78	78	16.04
78	16633	0.0986328
79	79	15.2382
80	80	18.1211
80	305	0.0657152
80	881	0.0975772
80	1452	0.0979091
80	1556	0.100564
80	6363	0.0325257
80	6474	0.0325257
80	6851	0.130767
80	8088	0.132094
80	11020	0.0657152
80	11274	0.36077
81	81	23.5051
81	210	2.00871
81	1734	0.338508
82	82	51.8143
82	3182	0.0308547
82	3271	0.37149
83	83	16.337
84	84	32.7553
84	1085	0.721637
84	13153	3.55348
84	14391	0.277553
85	85	26.9345
85	2229	0.000389235
85	10903	0.000546011
86	86	14.8092
86	5436	0.0174764
87	87	38.2661
88	88	12.9295
89	89	10.5509
90	90	21.3933
90	6282	0.128719
90	14624	0.0326649
91	91	13.6889
91	4398	0.0523784
91	11838	0.107429
91	13641	0.0523784
